Annotator,Annotation,ID
ajbe6539,Society,Woman dies after airport scanner interferes with her pacemaker - Telegraph
ajbe6539,Sports,"Devastated as captain, Tendulkar wanted to quit: Autobiography - The Times of India"
ajbe6539,Sports,Ice hockey boy gets floored
ajbe6539,Sports,Nine to Know: Red Sox Stats Pack  Good at Losing Edition
ajbe6539,Sports,Radamel Falcao: Colombian striker 'really wants to stay' at Manchester United - but it depends on how much he plays
ajbe6539,Sports,"Indian women beat Japan, win bronze in Asiad hockey"
ajbe6539,Sports,http://www.scotsman.com/news/celebrity/andy-murray-courts-controversy-with-ss-logo-1-3662942
ajbe6539,Sports,"Cricket: Associations set plans for bright future | Otago Daily Times Online News : Otago, South..."
ajbe6539,Sports,Louis van Gaal hands out Christmas presents to fans on Boxing Day
ajbe6539,War,Russian armoured vehicles and military trucks cross border into Ukraine  - Telegraph
amit0315,Business,Google 'committed' to Ireland despite plans to phase out controversial tax rules - Independent.ie
amit0315,Business,Over half of all gadgets used at Christmas were made by Apple
amit0315,Business,Potentially interesting
amit0315,Business,We should be banking on a brighter future for Scotland
amit0315,Business,'Ship Your Enemies Glitter' business sells for $85K
amit0315,Business,"If US had a patent law like ours, they would discover many more drugs: Anand Grover - The Times of India"
amit0315,Business,Australia's best private pools on the market
amit0315,Business,Hamish McRae: Lessons for all as America bounces back
amit0315,Business,30 Items We Just Know You're Going To Want For Fall
amit0315,Business,DUBS Bring Down The Noise In Night Clubs
amit0315,Business,Apple CarPlay infotainment system has lots of potential
amit0315,Entertainment,The weirdest moments from 30 years of 'Ninja Turtles'
amit0315,Entertainment,Eastenders: Carter clan set to implode in 2015
amit0315,Entertainment,Snapper star dies
amit0315,Entertainment,Interpol's Second Act: Inside the Gloom Kings' Return
amit0315,Entertainment,Translators battle bad subtitles that lead to poor perception of Hong Kong films
amit0315,Entertainment,EW discusses: Does 'Super Smash Bros.' succeed on the 3DS? | EW.com
amit0315,Entertainment,Book quiz: How well do you know literature? Take the demonic Wigtown Book Festival pub quiz - Telegraph
amit0315,Entertainment,TOWIE's Pascal Craymer nearly spills out of plunging red dress
amit0315,Entertainment,INXS relive one of their most successful years ever and their toughest
amit0315,Entertainment,'Paddington' director on the 'sad' departure of Colin Firth | EW.com
amit0315,Entertainment,Musicians Besides Frank Who Have Preferred Masks Onstage
amit0315,Entertainment,Paul Hollywood & his wife Alexandra put on a united front at the NTAs
amit0315,Error,Tim Cook puts personal touch on iPhone 6 launch - The Times of India
amit0315,Error,Dewani cop didn't ace it
amit0315,Health,"After my cancer diagnosis, my anxiety disappeared. Now I'll do anything to keep this body | Clare Atkinson"
amit0315,Health,72-hour wait for Missouri abortions takes effect next month
amit0315,Health,Woman dies after airport scanner interferes with her pacemaker - Telegraph
amit0315,Other,Ex-NYPD cop slams 'black brunch' with gun-toting selfie
amit0315,Other,"We put your tax return hell questions to HMRC, and this is what they said"
amit0315,Other,"36 Hours in Strasbourg, France"
amit0315,Other,Win one of 10 luxury holidays at the Telegraph Cruise Show - Telegraph
amit0315,Politics,Vic premier has lost the plot says Geoff Shaw after surviving expulsion
amit0315,Politics,What has the Human Rights Act done for you?
amit0315,Politics,"Coal is 'good for humanity', says Tony Abbott at mine opening"
amit0315,Politics,The Government's bid to boost mobile coverage could easily backfire - Telegraph
amit0315,Politics,Iraq Reaches Major Oil Deal With Kurds
amit0315,Politics,Cong escalates attack on govt through social media - The Times of India
amit0315,Politics,From the flower pot to Pantibar: Enda's gay support evolution
amit0315,Politics,Azerbaijan prosecutes a prominent human rights defenderon absurd charges.
amit0315,Politics,'Impossible' for Saudi to reduce oil output: minister
amit0315,Politics,Victorian Liberals sack candidate over role for porn star in campaign event
amit0315,Politics,Outrage as EU politicians demand extra PS8BILLION from taxpayers for Brussels budget
amit0315,Science and Technology,What is a sinkhole?
amit0315,Science and Technology,Gene-Therapy Hope for 'Bubble Boy' Syndrome
amit0315,Science and Technology,Coming Picture Of A Supermassive Black Hole Will Be The 'Image Of The Century'
amit0315,Science and Technology,"Danger Beneath: 'Fracking' Gas, Oil Pipes Threaten Rural Residents"
amit0315,Science and Technology,Anticipating the rise of the machine
amit0315,Society,Dad crushed to death in lift as a result of 'safety breaches' - court hears - Independent.ie
amit0315,Society,"Obama proposes consumer data protections, even as a military Twitter account is hacked"
amit0315,Society,Poppy Appeal: Amputee soldiers join Joss Stone at Cenotaph vigil
amit0315,Society,The unborn babies who are already smiling for the camera
amit0315,Society,'Parents these days' are judged too harshly
amit0315,Society,Campaigners call for online retailer to remove 'unacceptable' baby clothes branded with 'sexualised and porn-inspired imagery'
amit0315,Society,"Girl killed, 11 injured in fiery crash on 60 Freeway in South El Monte, all lanes closed"
amit0315,Society,DU to go back to reevaluation system : News
amit0315,Society,Kane's account of sting draws increasing fire
amit0315,Society,Prosecutors seek to have McDonnell jailed during appeal
amit0315,Society,Kate Malonyay murdered by Elliot Coulson after uncovering web of lies: coroner
amit0315,Society,The words that ended my marriage
amit0315,Society,How to find love in 2015 without it costing the earth
amit0315,Society,Philippine storm death toll rises to six - The Times of India
amit0315,Society,EXCLUSIVE: MH370 will 'NEVER be found' as 'there's no sensible theory to where it is'
amit0315,Society,Father fatally shoots man in daughter's room in Northeast Philadelphia
amit0315,Society,Met policeman cleared after kicking mother tending to her child in hospital
amit0315,Society,19 Things Scottish People Miss When They Move To London
amit0315,Sports,"Devastated as captain, Tendulkar wanted to quit: Autobiography - The Times of India"
amit0315,Sports,Ice hockey boy gets floored
amit0315,Sports,Nine to Know: Red Sox Stats Pack  Good at Losing Edition
amit0315,Sports,Radamel Falcao: Colombian striker 'really wants to stay' at Manchester United - but it depends on how much he plays
amit0315,Sports,"Indian women beat Japan, win bronze in Asiad hockey"
amit0315,Sports,http://www.scotsman.com/news/celebrity/andy-murray-courts-controversy-with-ss-logo-1-3662942
amit0315,Sports,"Cricket: Associations set plans for bright future | Otago Daily Times Online News : Otago, South..."
amit0315,Sports,Ryan Giggs' brother says footballer's eight-year affair with his wife 'demolished' his family
amit0315,Sports,Louis van Gaal hands out Christmas presents to fans on Boxing Day
amit0315,Sports,Leading golfer Ian Poulter accused of being out of touch with reality
amit0315,War,FBI investigating explosion outside NAACP office in Colorado - CNN.com
amit0315,War,How Britain Made James Foley's Killer
amit0315,War,TeradataVoice: The Catch-22 In Cyber Defense: More Isn't Always Better
amit0315,War,Russian armoured vehicles and military trucks cross border into Ukraine  - Telegraph
amue6050,Business,Google 'committed' to Ireland despite plans to phase out controversial tax rules - Independent.ie
amue6050,Business,Over half of all gadgets used at Christmas were made by Apple
amue6050,Business,Potentially interesting
amue6050,Business,We should be banking on a brighter future for Scotland
amue6050,Business,'Ship Your Enemies Glitter' business sells for $85K
amue6050,Business,Australia's best private pools on the market
amue6050,Business,Hamish McRae: Lessons for all as America bounces back
amue6050,Business,DUBS Bring Down The Noise In Night Clubs
amue6050,Entertainment,The weirdest moments from 30 years of 'Ninja Turtles'
amue6050,Entertainment,Eastenders: Carter clan set to implode in 2015
amue6050,Entertainment,Snapper star dies
amue6050,Entertainment,Interpol's Second Act: Inside the Gloom Kings' Return
amue6050,Entertainment,Book quiz: How well do you know literature? Take the demonic Wigtown Book Festival pub quiz - Telegraph
amue6050,Entertainment,TOWIE's Pascal Craymer nearly spills out of plunging red dress
amue6050,Entertainment,INXS relive one of their most successful years ever and their toughest
amue6050,Entertainment,http://www.scotsman.com/news/celebrity/andy-murray-courts-controversy-with-ss-logo-1-3662942
amue6050,Entertainment,'Paddington' director on the 'sad' departure of Colin Firth | EW.com
amue6050,Entertainment,Louis van Gaal hands out Christmas presents to fans on Boxing Day
amue6050,Entertainment,Musicians Besides Frank Who Have Preferred Masks Onstage
amue6050,Entertainment,Paul Hollywood & his wife Alexandra put on a united front at the NTAs
amue6050,Entertainment,30 Items We Just Know You're Going To Want For Fall
amue6050,Entertainment,Leading golfer Ian Poulter accused of being out of touch with reality
amue6050,Entertainment,Win one of 10 luxury holidays at the Telegraph Cruise Show - Telegraph
amue6050,Error,Dewani cop didn't ace it
amue6050,Politics,Vic premier has lost the plot says Geoff Shaw after surviving expulsion
amue6050,Politics,"Coal is 'good for humanity', says Tony Abbott at mine opening"
amue6050,Politics,Iraq Reaches Major Oil Deal With Kurds
amue6050,Politics,Cong escalates attack on govt through social media - The Times of India
amue6050,Politics,Victorian Liberals sack candidate over role for porn star in campaign event
amue6050,Politics,"Danger Beneath: 'Fracking' Gas, Oil Pipes Threaten Rural Residents"
amue6050,Politics,Outrage as EU politicians demand extra PS8BILLION from taxpayers for Brussels budget
amue6050,Science and Technology,Tim Cook puts personal touch on iPhone 6 launch - The Times of India
amue6050,Science and Technology,Gene-Therapy Hope for 'Bubble Boy' Syndrome
amue6050,Science and Technology,Apple CarPlay infotainment system has lots of potential
amue6050,Science and Technology,Coming Picture Of A Supermassive Black Hole Will Be The 'Image Of The Century'
amue6050,Science and Technology,TeradataVoice: The Catch-22 In Cyber Defense: More Isn't Always Better
amue6050,Science and Technology,Anticipating the rise of the machine
amue6050,Society,Dad crushed to death in lift as a result of 'safety breaches' - court hears - Independent.ie
amue6050,Society,Ex-NYPD cop slams 'black brunch' with gun-toting selfie
amue6050,Society,"Obama proposes consumer data protections, even as a military Twitter account is hacked"
amue6050,Society,What is a sinkhole?
amue6050,Society,What has the Human Rights Act done for you?
amue6050,Society,Poppy Appeal: Amputee soldiers join Joss Stone at Cenotaph vigil
amue6050,Society,Ice hockey boy gets floored
amue6050,Society,The unborn babies who are already smiling for the camera
amue6050,Society,The Government's bid to boost mobile coverage could easily backfire - Telegraph
amue6050,Society,'Parents these days' are judged too harshly
amue6050,Society,Campaigners call for online retailer to remove 'unacceptable' baby clothes branded with 'sexualised and porn-inspired imagery'
amue6050,Society,"Girl killed, 11 injured in fiery crash on 60 Freeway in South El Monte, all lanes closed"
amue6050,Society,DU to go back to reevaluation system : News
amue6050,Society,"We put your tax return hell questions to HMRC, and this is what they said"
amue6050,Society,Translators battle bad subtitles that lead to poor perception of Hong Kong films
amue6050,Society,EW discusses: Does 'Super Smash Bros.' succeed on the 3DS? | EW.com
amue6050,Society,Kane's account of sting draws increasing fire
amue6050,Society,"36 Hours in Strasbourg, France"
amue6050,Society,How Britain Made James Foley's Killer
amue6050,Society,"After my cancer diagnosis, my anxiety disappeared. Now I'll do anything to keep this body | Clare Atkinson"
amue6050,Society,Prosecutors seek to have McDonnell jailed during appeal
amue6050,Society,Kate Malonyay murdered by Elliot Coulson after uncovering web of lies: coroner
amue6050,Society,Ryan Giggs' brother says footballer's eight-year affair with his wife 'demolished' his family
amue6050,Society,"If US had a patent law like ours, they would discover many more drugs: Anand Grover - The Times of India"
amue6050,Society,The words that ended my marriage
amue6050,Society,How to find love in 2015 without it costing the earth
amue6050,Society,From the flower pot to Pantibar: Enda's gay support evolution
amue6050,Society,Philippine storm death toll rises to six - The Times of India
amue6050,Society,EXCLUSIVE: MH370 will 'NEVER be found' as 'there's no sensible theory to where it is'
amue6050,Society,Father fatally shoots man in daughter's room in Northeast Philadelphia
amue6050,Society,72-hour wait for Missouri abortions takes effect next month
amue6050,Society,Met policeman cleared after kicking mother tending to her child in hospital
amue6050,Society,Azerbaijan prosecutes a prominent human rights defenderon absurd charges.
amue6050,Society,19 Things Scottish People Miss When They Move To London
amue6050,Society,'Impossible' for Saudi to reduce oil output: minister
amue6050,Society,Woman dies after airport scanner interferes with her pacemaker - Telegraph
amue6050,Sports,"Devastated as captain, Tendulkar wanted to quit: Autobiography - The Times of India"
amue6050,Sports,Nine to Know: Red Sox Stats Pack  Good at Losing Edition
amue6050,Sports,Radamel Falcao: Colombian striker 'really wants to stay' at Manchester United - but it depends on how much he plays
amue6050,Sports,"Indian women beat Japan, win bronze in Asiad hockey"
amue6050,Sports,"Cricket: Associations set plans for bright future | Otago Daily Times Online News : Otago, South..."
amue6050,War,FBI investigating explosion outside NAACP office in Colorado - CNN.com
amue6050,War,Russian armoured vehicles and military trucks cross border into Ukraine  - Telegraph
anli9209,Business,Eastenders: Carter clan set to implode in 2015
anli9209,Business,Tim Cook puts personal touch on iPhone 6 launch - The Times of India
anli9209,Business,Google 'committed' to Ireland despite plans to phase out controversial tax rules - Independent.ie
anli9209,Business,Over half of all gadgets used at Christmas were made by Apple
anli9209,Business,Potentially interesting
anli9209,Business,'Ship Your Enemies Glitter' business sells for $85K
anli9209,Business,Hamish McRae: Lessons for all as America bounces back
anli9209,Business,30 Items We Just Know You're Going To Want For Fall
anli9209,Business,'Impossible' for Saudi to reduce oil output: minister
anli9209,Entertainment,Poppy Appeal: Amputee soldiers join Joss Stone at Cenotaph vigil
anli9209,Entertainment,Snapper star dies
anli9209,Entertainment,Interpol's Second Act: Inside the Gloom Kings' Return
anli9209,Entertainment,Translators battle bad subtitles that lead to poor perception of Hong Kong films
anli9209,Entertainment,EW discusses: Does 'Super Smash Bros.' succeed on the 3DS? | EW.com
anli9209,Entertainment,TOWIE's Pascal Craymer nearly spills out of plunging red dress
anli9209,Entertainment,INXS relive one of their most successful years ever and their toughest
anli9209,Entertainment,"36 Hours in Strasbourg, France"
anli9209,Entertainment,How Britain Made James Foley's Killer
anli9209,Entertainment,'Paddington' director on the 'sad' departure of Colin Firth | EW.com
anli9209,Entertainment,Musicians Besides Frank Who Have Preferred Masks Onstage
anli9209,Entertainment,Paul Hollywood & his wife Alexandra put on a united front at the NTAs
anli9209,Entertainment,Win one of 10 luxury holidays at the Telegraph Cruise Show - Telegraph
anli9209,Health,The unborn babies who are already smiling for the camera
anli9209,Health,"After my cancer diagnosis, my anxiety disappeared. Now I'll do anything to keep this body | Clare Atkinson"
anli9209,Other,Dewani cop didn't ace it
anli9209,Politics,"Obama proposes consumer data protections, even as a military Twitter account is hacked"
anli9209,Politics,Vic premier has lost the plot says Geoff Shaw after surviving expulsion
anli9209,Politics,What has the Human Rights Act done for you?
anli9209,Politics,Iraq Reaches Major Oil Deal With Kurds
anli9209,Politics,Cong escalates attack on govt through social media - The Times of India
anli9209,Politics,We should be banking on a brighter future for Scotland
anli9209,Politics,"If US had a patent law like ours, they would discover many more drugs: Anand Grover - The Times of India"
anli9209,Politics,72-hour wait for Missouri abortions takes effect next month
anli9209,Politics,Azerbaijan prosecutes a prominent human rights defenderon absurd charges.
anli9209,Politics,Victorian Liberals sack candidate over role for porn star in campaign event
anli9209,Politics,Outrage as EU politicians demand extra PS8BILLION from taxpayers for Brussels budget
anli9209,Science and Technology,The weirdest moments from 30 years of 'Ninja Turtles'
anli9209,Science and Technology,The Government's bid to boost mobile coverage could easily backfire - Telegraph
anli9209,Science and Technology,Gene-Therapy Hope for 'Bubble Boy' Syndrome
anli9209,Science and Technology,DUBS Bring Down The Noise In Night Clubs
anli9209,Science and Technology,Apple CarPlay infotainment system has lots of potential
anli9209,Science and Technology,Coming Picture Of A Supermassive Black Hole Will Be The 'Image Of The Century'
anli9209,Science and Technology,Anticipating the rise of the machine
anli9209,Society,Dad crushed to death in lift as a result of 'safety breaches' - court hears - Independent.ie
anli9209,Society,Ex-NYPD cop slams 'black brunch' with gun-toting selfie
anli9209,Society,What is a sinkhole?
anli9209,Society,"Coal is 'good for humanity', says Tony Abbott at mine opening"
anli9209,Society,'Parents these days' are judged too harshly
anli9209,Society,Campaigners call for online retailer to remove 'unacceptable' baby clothes branded with 'sexualised and porn-inspired imagery'
anli9209,Society,"Girl killed, 11 injured in fiery crash on 60 Freeway in South El Monte, all lanes closed"
anli9209,Society,FBI investigating explosion outside NAACP office in Colorado - CNN.com
anli9209,Society,DU to go back to reevaluation system : News
anli9209,Society,"We put your tax return hell questions to HMRC, and this is what they said"
anli9209,Society,Book quiz: How well do you know literature? Take the demonic Wigtown Book Festival pub quiz - Telegraph
anli9209,Society,Kane's account of sting draws increasing fire
anli9209,Society,Prosecutors seek to have McDonnell jailed during appeal
anli9209,Society,Kate Malonyay murdered by Elliot Coulson after uncovering web of lies: coroner
anli9209,Society,Ryan Giggs' brother says footballer's eight-year affair with his wife 'demolished' his family
anli9209,Society,Australia's best private pools on the market
anli9209,Society,The words that ended my marriage
anli9209,Society,How to find love in 2015 without it costing the earth
anli9209,Society,From the flower pot to Pantibar: Enda's gay support evolution
anli9209,Society,Philippine storm death toll rises to six - The Times of India
anli9209,Society,EXCLUSIVE: MH370 will 'NEVER be found' as 'there's no sensible theory to where it is'
anli9209,Society,Father fatally shoots man in daughter's room in Northeast Philadelphia
anli9209,Society,Met policeman cleared after kicking mother tending to her child in hospital
anli9209,Society,Leading golfer Ian Poulter accused of being out of touch with reality
anli9209,Society,19 Things Scottish People Miss When They Move To London
anli9209,Society,"Danger Beneath: 'Fracking' Gas, Oil Pipes Threaten Rural Residents"
anli9209,Society,TeradataVoice: The Catch-22 In Cyber Defense: More Isn't Always Better
anli9209,Society,Woman dies after airport scanner interferes with her pacemaker - Telegraph
anli9209,Sports,"Devastated as captain, Tendulkar wanted to quit: Autobiography - The Times of India"
anli9209,Sports,Ice hockey boy gets floored
anli9209,Sports,Nine to Know: Red Sox Stats Pack  Good at Losing Edition
